Field_ID,Crop_ID_1,Crop_ID_2,Crop_ID_3,Crop_ID_4,Crop_ID_5,Crop_ID_6,Crop_ID_7
3,0.04802481490312293,0.6313354572065375,0.11341262308708057,0.03546690820271499,0.06036087545814519,0.07181735350972723,0.039581967632671536
6,0.03696538266566708,0.917987346426806,0.0021139892006280868,0.016351589222886084,0.01736896848647519,0.007230015665530895,0.0019827083320065964
11,0.07835677723040488,0.559886686880845,0.009928299871376209,0.2370377458182812,0.06232563357532919,0.023008602353747742,0.029456254270015914
13,0.28080449517319245,0.6288751843168324,0.011699246696971637,0.026183940284225153,0.020959889835974375,0.02518555827374576,0.0062916854190581285
14,0.05004671070201573,0.811930084788772,0.03912916238392281,0.030200173986680033,0.0207196571060025,0.0052581261918268314,0.042716084840779975
18,0.15874322169982433,0.4858785932475923,0.009887220493544171,0.10254642286704449,0.19183070113332856,0.030257019829304614,0.020856820729361597
19,0.1745930331083298,0.6851637824685204,0.012442340587207603,0.058325673090403346,0.0522824106158954,0.011188286651442926,0.006004473478200617
23,0.3532074897337379,0.46928570381398493,0.02865183082988103,0.09327036256909446,0.03426352513311289,0.017689411471130057,0.0036316764490587766
24,0.2245554005075649,0.2805372197882752,0.08830543789964843,0.2323843690045074,0.13114663695423023,0.02880782447157937,0.014263111374194507
25,0.1647971413874309,0.26795970721594703,0.09294861135766568,0.36699295941371163,0.039271393053492316,0.03799273798988362,0.030037449581868717
28,0.6049770979488569,0.29844454657303615,0.004259559613490176,0.03839399136691022,0.036880868642895914,0.015081101221382866,0.0019628346334279313
29,0.14942062935275674,0.760916816587401,0.006935060634361785,0.03746991954674748,0.01891566137400947,0.02345695807947006,0.0028849544252535866
30,0.5842812888721525,0.31290690696460677,0.0027140570217737067,0.059264753880289026,0.02499646607033405,0.014613042602947953,0.0012234845878959927
40,0.41219398034713717,0.1003989217236779,0.010199775728769235,0.3455066572318506,0.10318411539286765,0.024510867171540524,0.004005682404157005
43,0.37374943437251357,0.41742465269741824,0.04580432990479634,0.09921122447711045,0.02030223852058076,0.037945252171336014,0.0055628678562445405
49,0.5221421120576634,0.07894673715854074,0.0072358730645426085,0.09486033446872366,0.23564649169391122,0.051251614567511664,0.009916836989106729
53,0.14254495586665195,0.36007074908737763,0.2762587198903453,0.07714709872841083,0.02144362544698902,0.005611061415797493,0.11692378956442778
